Poster_Link,Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross
"https://m.media-amazon.com/images/M/MV5BMGFkNWI4MTMtNGQ0OC00MWVmLTk3MTktOGYxN2Y2YWVkZWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",onc upon a time in america,1984,a,229 min,crime drama,8.4,a former prohibit era jewish gangster return to the lower east side of manhattan over thirti year later where he onc again must confront the ghost and regret of hi old life,0.0,sergio leon,robert de niro,jame wood,elizabeth mcgovern,treat william,0.0,5 321 508
"https://m.media-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_UX67_CR0,0,67,98_AL_.jpg",raider of the lost ark,1981,a,115 min,action adventur,8.4,in 1936 archaeologist and adventur indiana jone is hire by the u s govern to find the ark of the coven befor adolf hitler s nazi can obtain it awesom power,0.0,steven spielberg,harrison ford,karen allen,paul freeman,john rhi davi,0.0,248 159 971
"https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",the shine,1980,a,146 min,drama horror,8.4,a famili head to an isol hotel for the winter where a sinist presenc influenc the father into violenc while hi psychic son see horrif forebod from both past and futur,0.0,stanley kubrick,jack nicholson,shelley duval,danni lloyd,scatman crother,0.0,44 017 374
"https://m.media-amazon.com/images/M/MV5BMDdhODg0MjYtYzBiOS00ZmI5LWEwZGYtZDEyNDU4MmQyNzFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",apocalyps now,1979,r,147 min,drama mysteri war,8.4,a u s armi offic serv in vietnam is task with assassin a renegad special forc colonel who see himself as a god,0.0,franci ford coppola,martin sheen,marlon brando,robert duval,freder forrest,0.0,83 471 511
"https://m.media-amazon.com/images/M/MV5BMmQ2MmU3NzktZjAxOC00ZDZhLTk4YzEtMDMyMzcxY2IwMDAyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",alien,1979,r,117 min,horror sci fi,8.4,after a space merchant vessel receiv an unknown transmiss as a distress call one of the crew is attack by a mysteri life form and they soon realiz that it life cycl ha mere begun,0.0,ridley scott,sigourney weaver,tom skerritt,john hurt,veronica cartwright,0.0,78 900 000
"https://m.media-amazon.com/images/M/MV5BYmYzNmM2MDctZGY3Yi00NjRiLWIxZjctYjgzYTcxYTNhYTMyXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UY98_CR1,0,67,98_AL_.jpg",anand,1971,u,122 min,drama music,8.4,the stori of a termin ill man who wish to live life to the fullest befor the inevit occur as told by hi best friend,0.0,hrishikesh mukherje,rajesh khanna,amitabh bachchan,sumita sanyal,ramesh deo,0.0,Unknown
"https://m.media-amazon.com/images/M/MV5BOTI4NTNhZDMtMWNkZi00MTRmLWJmZDQtMmJkMGVmZTEzODlhXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",tengoku to jigoku,1963,Unknown,143 min,crime drama mysteri,8.4,an execut of a shoe compani becom a victim of extort when hi chauffeur s son is kidnap and held for ransom,0.0,akira kurosawa,toshir mifun,yutaka sada,tatsuya nakadai,ky ko kagawa,0.0,Unknown
"https://m.media-amazon.com/images/M/MV5BZWI3ZTMxNjctMjdlNS00NmUwLWFiM2YtZDUyY2I3N2MxYTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",dr strangelov or how i learn to stop worri and love the bomb,1964,a,95 min,comedi,8.4,an insan gener trigger a path to nuclear holocaust that a war room full of politician and gener frantic tri to stop,0.0,stanley kubrick,peter seller,georg c scott,sterl hayden,keenan wynn,0.0,275 902
"https://m.media-amazon.com/images/M/MV5BNDQwODU5OWYtNDcyNi00MDQ1LThiOGMtZDkwNWJiM2Y3MDg0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",wit for the prosecut,1957,u,116 min,crime drama mysteri,8.4,a veteran british barrist must defend hi client in a murder trial that ha surpris after surpris,0.0,billi wilder,tyron power,marlen dietrich,charl laughton,elsa lanchest,0.0,8 175 000
"https://m.media-amazon.com/images/M/MV5BNjViMmRkOTEtM2ViOS00ODg0LWJhYWEtNTBlOGQxNDczOGY3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UY98_CR2,0,67,98_AL_.jpg",path of glori,1957,a,88 min,drama war,8.4,after refus to attack an enemi posit a gener accus the soldier of cowardic and their command offic must defend them,0.0,stanley kubrick,kirk dougla,ralph meeker,adolph menjou,georg macreadi,0.0,Unknown
"https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",rear window,1954,u,112 min,mysteri thriller,8.4,a wheelchair bound photograph spi on hi neighbor from hi apart window and becom convinc one of them ha commit murder,0.0,alfr hitchcock,jame stewart,grace kelli,wendel corey,thelma ritter,0.0,36 764 313
"https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_UX67_CR0,0,67,98_AL_.jpg",sunset blvd,1950,pass,110 min,drama film noir,8.4,a screenwrit develop a danger relationship with a fade film star determin to make a triumphant return,0.0,billi wilder,william holden,gloria swanson,erich von stroheim,nanci olson,0.0,Unknown
"https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",the great dictat,1940,pass,125 min,comedi drama war,8.4,dictat adenoid hynkel tri to expand hi empir while a poor jewish barber tri to avoid persecut from hynkel s regim,0.0,charl chaplin,charl chaplin,paulett goddard,jack oaki,reginald gardin,0.0,288 475
"https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_UX67_CR0,0,67,98_AL_.jpg",1917,2019,r,119 min,drama thriller war,8.3,april 6th 1917 as a regiment assembl to wage war deep in enemi territori two soldier are assign to race against time and deliv a messag that will stop 1 600 men from walk straight into a deadli trap,0.0,sam mend,dean charl chapman,georg mackay,daniel may,colin firth,0.0,159 227 644
"https://m.media-amazon.com/images/M/MV5BYmQxNmU4ZjgtYzE5Mi00ZDlhLTlhOTctMzJkNjk2ZGUyZGEwXkEyXkFqcGdeQXVyMzgxMDA0Nzk@._V1_UY98_CR1,0,67,98_AL_.jpg",tumbbad,2018,a,104 min,drama fantasi horror,8.3,a mytholog stori about a goddess who creat the entir univers the plot revolv around the consequ when human build a templ for her first born,0.0,rahi anil barv,anand gandhi,adesh prasad,sohum shah,jyoti malsh,0.0,Unknown
"https://m.media-amazon.com/images/M/MV5BZWZhMjhhZmYtOTIzOC00MGYzLWI1OGYtM2ZkN2IxNTI4ZWI3XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_UY98_CR0,0,67,98_AL_.jpg",andhadhun,2018,ua,139 min,crime drama music,8.3,a seri of mysteri event chang the life of a blind pianist who must now report a crime that he should technic know noth of,0.0,sriram raghavan,ayushmann khurrana,tabu,radhika apt,anil dhawan,0.0,1 373 943
"https://m.media-amazon.com/images/M/MV5BYmY3MzYwMGUtOWMxYS00OGVhLWFjNmUtYzlkNGVmY2ZkMjA3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY98_CR4,0,67,98_AL_.jpg",drishyam,2013,u,160 min,crime drama thriller,8.3,a man goe to extrem length to save hi famili from punish after the famili commit an accident crime,0.0,jeethu joseph,mohanl,meena,asha sharath,ansiba,0.0,Unknown
"https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_UY98_CR1,0,67,98_AL_.jpg",jagten,2012,r,115 min,drama,8.3,a teacher live a lone life all the while struggl over hi son s custodi hi life slowli get better as he find love and receiv good news from hi son but hi new luck is about to be brutal shatter by an innoc littl lie,0.0,thoma vinterberg,mad mikkelsen,thoma bo larsen,annika wedderkopp,lass fogelstr m,0.0,687 185
"https://m.media-amazon.com/images/M/MV5BN2JmMjViMjMtZTM5Mi00ZGZkLTk5YzctZDg5MjFjZDE4NjNkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",jodaeiy nader az simin,2011,pg 13,123 min,drama,8.3,a marri coupl are face with a difficult decis to improv the life of their child by move to anoth countri or to stay in iran and look after a deterior parent who ha alzheim s diseas,0.0,asghar farhadi,payman maadi,leila hatami,sareh bayat,shahab hosseini,0.0,7 098 492
"https://m.media-amazon.com/images/M/MV5BMWE3MGYzZjktY2Q5Mi00Y2NiLWIyYWUtMmIyNzA3YmZlMGFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",incendi,2010,r,131 min,drama mysteri war,8.3,twin journey to the middl east to discov their famili histori and fulfil their mother s last wish,0.0,deni villeneuv,lubna azab,m lissa d sormeaux poulin,maxim gaudett,mustafa kamel,0.0,6 857 096
"https://m.media-amazon.com/images/M/MV5BOGE3N2QxN2YtM2ZlNS00MWIyLWE1NDAtYWFlN2FiYjY1MjczXkEyXkFqcGdeQXVyOTUwNzc0ODc@._V1_UY98_CR1,0,67,98_AL_.jpg",miracl in cell no 7,2019,tv 14,132 min,drama,8.3,a stori of love between a mental ill father who wa wrongli accus of murder and hi love six year old daughter the prison would be their home base on the 2013 korean movi 7 beon bang ui seon mul 2013,0.0,mehmet ada ztekin,ara bulut iynemli,nisa sofiya aksongur,deniz baysal,celil toyon uysal,0.0,Unknown
